latitude,longitude,fips1,fips2,fips3,fips4,fips5,fips6
33.7189,-118.3022,060372975004004,060372975005011,060372975004003,060372975005010,,
33.7189,-118.2942,060372975001008,060372975001004,,,,
33.719,-118.32,060372973002000,060372974002000,,,,
33.719,-118.2992,060372975001006,060372975004000,,,,
33.719,-118.2946,060372975001008,060372975001005,060372975001004,,,
33.719,-118.2873,060372976013016,060372976013015,060372976013009,060372976013008,,
33.7191,-118.2972,060372975001004,060372975001011,,,,
33.7192,-118.3208,060372974002000,,,,,
33.7192,-118.3085,060372975005004,,,,,
33.7192,-118.2839,060372976013000,,,,,
33.7193,-118.3066,060372975005007,060372975005005,060372975005004,,,
33.7193,-118.2861,060372976013015,060372976013016,060372976013004,,,
33.7194,-118.3216,060372974002012,060372974002013,060372974002019,060372974002000,,
33.7194,-118.3215,060372974002000,060372974002012,060372974002019,060372974002013,,
33.7194,-118.2946,060372975001008,060372975001005,,,,
33.7196,-118.2561,060379800311051,,,,,
33.7197,-118.2946,060372975001007,060372975001008,060372975001002,060372975001005,,
33.7197,-118.2916,060372976023000,060372976023001,060372976021005,060372976023002,,
33.7197,-118.2909,060372976023000,060372976023001,,,,
33.7197,-118.2907,060372976023000,060372976023001,060372976021009,,,
33.7197,-118.2898,060372976021009,060372976021007,,,,
33.7197,-118.2889,060372976021007,060372976021008,,,,
33.7198,-118.321,060372974002000,,,,,
33.7198,-118.3013,060372975003005,060372975003006,060372975003008,,,
33.7198,-118.299,060372975003007,060372975001006,060372975003006,060372975004000,,
33.7198,-118.2969,060372975001003,060372975001004,060372975001002,,,
33.7201,-118.3028,060372975005011,060372975005008,060372975005012,,,
33.7201,-118.2757,060379800311108,060379800311107,,,,
33.7203,-118.3084,060372975005004,060372975005002,060372975005006,,,
33.7203,-118.3026,060372975003005,060372975005011,060372975005008,,,
33.7204,-118.2968,060372975003001,060372975003007,060372975001002,060372975001003,,
33.7206,-118.3252,060372974002019,060372974002013,060372974002021,060372974002016,,
33.7206,-118.2946,060372975001007,060372975001000,060372975001002,060372975001001,,
33.7206,-118.2938,060372975001007,060372975001000,,,,
33.7206,-118.2929,060372975001007,060372975001000,060372976021005,060372976021004,,
33.7206,-118.2916,060372976023000,060372976021006,060372976021005,060372976021004,,
33.7206,-118.2907,060372976023000,060372976021006,060372976021009,060372976021002,,
33.7206,-118.2898,060372976021009,060372976021002,060372976021007,,,
33.7206,-118.2889,060372976021007,060372976021002,060372976021008,060372976021001,,
33.7206,-118.288,060372976021008,060372976021001,060372976013009,060372976013010,,
33.7207,-118.3108,060372973002002,,,,,
33.7207,-118.3013,060372975003004,060372975003005,060372975003003,060372975003006,,
33.7207,-118.299,060372975003002,060372975003003,060372975003007,060372975003006,,
33.7207,-118.2971,060372975003002,060372975003007,,,,
33.7207,-118.2968,060372975003001,060372975003002,060372975003007,,,
33.7208,-118.328,060372974002012,,,,,
33.7208,-118.3113,060372973002002,,,,,
33.7208,-118.3056,060372975005000,060372975005008,060372975005001,060372975005002,,
33.7208,-118.3032,060372975005000,060372975003004,060372975005008,060372975003005,,
33.7209,-118.2946,060372975001000,060372975001001,060372975003001,060372975003000,,
33.721,-118.3205,060372974002004,060372974002020,060372974002019,,,
33.721,-118.3093,060372975005003,060372975005002,,,,
33.7211,-118.3194,060372974002004,,,,,
33.7211,-118.2916,060372976021003,060372976021006,060372976021004,,,
33.7212,-118.2909,060372976021003,060372976021002,060372976021006,,,
33.7212,-118.2835,060379800311125,060372976013000,,,,
33.7213,-118.319,060372974002004,,,,,
33.7214,-118.325,060372974002021,060372974002019,060372974002005,,,
33.7214,-118.2927,060372976021004,060372975003000,060372975001000,,,
33.7215,-118.3132,060372973002007,,,,,
33.7215,-118.2929,060372975003000,060372972012009,060372975001000,,,
33.7215,-118.289,060372976021002,,,,,
33.7215,-118.2846,060372976013005,060372976013000,,,,
33.7216,-118.3083,060372973001001,060372975005001,,,,
33.7216,-118.3056,060372973001005,060372975005000,060372973001000,060372975005001,,
33.7216,-118.3035,060372973001005,060372975005000,060372972023003,060372975003004,,
33.7216,-118.3012,060372972023002,060372972023003,060372975003003,060372975003004,,
33.7216,-118.299,060372972023001,060372972023002,060372975003002,060372975003003,,
33.7216,-118.2968,060372972023000,060372972023001,060372975003001,060372975003002,,
33.7216,-118.2946,060372972012009,060372972023000,060372975003000,060372975003001,,
33.7216,-118.2925,060372972012009,060372975003000,060372972012008,060372976021004,,
33.7216,-118.2818,060379800311108,,,,,
33.7217,-118.3276,060372974002007,060372974002009,060372974002016,060372974002021,060372974002012,
33.7218,-118.3102,060372973001001,,,,,
33.7218,-118.288,060372976021000,060372976013012,060372976021001,060372976013010,,
33.7218,-118.2814,060379800311108,,,,,
33.7219,-118.311,060372973001001,060372973002002,,,,
33.7219,-118.2911,060372972012008,060372976021003,060372976021002,,,
33.7222,-118.3226,060372974002004,060372974002020,060372974002019,,,
33.7224,-118.3203,060372974002004,,,,,
33.7224,-118.2924,060372972012008,060372972012009,060372972012004,060372972012003,,
33.7224,-118.2902,060372972012007,060372972012008,060372972012006,060372972012004,,
33.7225,-118.3267,060372974002005,060372974002021,,,,
33.7225,-118.3157,060372974002001,060372974002000,,,,
33.7225,-118.3146,060372974002000,,,,,
33.7225,-118.3056,060372973001004,060372973001005,060372973001000,,,
33.7225,-118.3034,060372972022011,060372972023003,060372973001004,060372973001005,,
33.7225,-118.3012,060372972022010,060372972022011,060372972023002,060372972023003,,
33.7225,-118.299,060372972022009,060372972022010,060372972023001,060372972023002,,
33.7225,-118.298,060372972022009,060372972023001,,,,
33.7225,-118.2968,060372972022008,060372972022009,060372972023000,060372972023001,,
33.7225,-118.2946,060372972012003,060372972022008,060372972012009,060372972023000,,
33.7225,-118.2893,060372972012006,060372972012007,060372976021002,060372976021001,,
33.7225,-118.2882,060372976021000,,,,,
33.7226,-118.3185,060372974002022,060372974002001,060372974002004,060372974002000,,
33.7227,-118.3211,060372974002004,,,,,
33.7229,-118.3162,060372974002002,060372974002001,,,,
33.7229,-118.3157,060372974002001,060372974002002,060372974002000,,,
33.7229,-118.288,060372972012006,060372971202014,060372976021000,060372972012005,,
33.723,-118.318,060372974002022,060372974002001,060372974002002,,,
33.723,-118.3129,060372974001005,060372974002000,060372973001000,060372973002000,,
33.7231,-118.3131,060372974002000,060372974001005,,,,
33.7232,-118.2769,060379800311108,060379800311107,,,,
33.7233,-118.3245,060372974002005,060372974002004,,,,
33.7234,-118.3056,060372973001003,060372973001004,060372973001002,060372973001000,,
33.7234,-118.3034,060372972022004,060372972022011,060372973001003,060372973001004,,
33.7234,-118.3012,060372972022005,060372972022010,060372972022004,060372972022011,,
33.7234,-118.299,060372972022006,060372972022005,060372972022009,060372972022010,,
33.7234,-118.2968,060372972022007,060372972022006,060372972022008,060372972022009,,
33.7234,-118.2946,060372972012002,060372972022007,060372972012003,060372972022008,,
33.7234,-118.2924,060372972012002,060372972012001,060372972012003,060372972012004,,
33.7234,-118.2905,060372972012001,060372972012004,,,,
33.7234,-118.2902,060372972012001,060372972012000,060372972012004,060372972012005,,
33.7234,-118.288,060372972012000,060372971202014,060372972012005,,,
33.7234,-118.2465,060379800311140,,,,,
33.7235,-118.2849,060372971202013,060372976013007,,,,
33.7237,-118.3202,060372974002004,060372974002022,,,,
33.7237,-118.3126,060372974001005,,,,,
33.7239,-118.3237,060372974002004,,,,,
33.724,-118.3148,060372974001005,060372974001006,060372974002000,060372974002002,,
33.7241,-118.3122,060372974001005,,,,,
33.7242,-118.3193,060372974002002,060372974002022,060372974002004,,,
33.7242,-118.3167,060372974002002,,,,,
33.7242,-118.2869,060372971202014,060372971202010,,,,
33.7242,-118.2858,060372971202014,060372971202013,060372971202010,060372971202011,060372971202012,
33.7242,-118.2838,060379800311108,,,,,
33.7243,-118.3074,060372973001002,060372973003009,060372973001000,,,
33.7243,-118.3056,060372973001003,060372973003010,060372973001002,060372973003009,,
33.7243,-118.3034,060372972022003,060372972022004,060372973003010,060372973001003,,
33.7243,-118.3012,060372972022002,060372972022005,060372972022003,060372972022004,,
33.7243,-118.299,060372972022001,060372972022002,060372972022006,060372972022005,,
33.7243,-118.2968,060372972022000,060372972022001,060372972022007,060372972022006,,
33.7243,-118.2963,060372972022000,060372972022007,,,,
33.7243,-118.2946,060372972022000,060372972011009,060372972022007,060372972012002,,
33.7243,-118.2924,060372972011009,060372972011010,060372972012002,060372972012001,,
33.7243,-118.2902,060372972011010,060372972011011,060372972012001,060372972012000,,
33.7243,-118.288,060372972011011,060372971202010,060372972012000,060372971202014,,
33.7243,-118.2872,060372971202010,060372971202014,,,,
33.7243,-118.2858,060372971202010,060372971202011,060372971202014,060372971202012,060372971202013,
33.7244,-118.322,060372974002004,,,,,
33.7244,-118.3124,060372974001005,,,,,
33.7244,-118.2739,060379800311108,060379800311106,,,,
33.7245,-118.3175,060372974002002,,,,,
33.7245,-118.2846,060379800311124,060379800311123,060372971202013,060379800311125,,
33.7247,-118.3169,060372974001006,060372974002002,,,,
33.7248,-118.3183,060372974002002,,,,,
33.7248,-118.3082,060372973001000,060372973003009,060372973003008,,,
33.7249,-118.3118,060372974001005,,,,,
33.7251,-118.2858,060372971202010,060372971202011,060372971202009,060372971202008,,
33.7252,-118.3056,060372973003010,060372973003006,060372973003009,060372973003007,,
33.7252,-118.3034,060372972022003,060372972021011,060372973003010,060372973003006,,
33.7252,-118.3012,060372972021010,060372972022002,060372972021011,060372972022003,,
33.7252,-118.299,060372972021009,060372972021010,060372972022001,060372972022002,,
33.7252,-118.2968,060372972021008,060372972021009,060372972022000,060372972022001,,
33.7252,-118.2946,060372972021008,060372972011008,060372972022000,060372972011009,,
33.7252,-118.2924,060372972011008,060372972011007,060372972011009,060372972011010,,
33.7252,-118.2916,060372972011007,060372972011010,,,,
33.7252,-118.2902,060372972011007,060372972011006,060372972011010,060372972011011,,
33.7252,-118.288,060372972011006,060372971202009,060372972011011,060372971202010,,
33.7252,-118.282,060379800311124,060379800311108,,,,
33.7252,-118.2776,060379800311108,,,,,
33.7253,-118.319,060372974002002,060372974002003,060372974001006,,,
33.7254,-118.3218,060372974002005,,,,,
33.7254,-118.3157,060372974001006,,,,,
33.7255,-118.315,060372974001006,060372974001004,,,,
33.7257,-118.3118,060372974001005,,,,,
33.7257,-118.2801,060379800311124,060379800311108,,,,
33.7257,-118.2766,060379800311108,,,,,
33.726,-118.321,060372974003017,060372974002005,060372974001006,060372974002004,,
33.7261,-118.3093,060372973003008,060372973001000,060372973003003,,,
33.7261,-118.3078,060372973003007,060372973003008,060372973003004,060372973003003,,
33.7261,-118.3056,060372973003006,060372973003007,060372973003005,060372973003004,,
33.7261,-118.3034,060372972021011,060372973003006,060372972021004,060372973003005,,
33.7261,-118.3012,060372972021010,060372972021005,060372972021011,060372972021004,,
33.7261,-118.299,060372972021006,060372972021005,060372972021009,060372972021010,,
33.7261,-118.2968,060372972021006,060372972021007,060372972021009,060372972021008,,
33.7261,-118.2946,060372972021007,060372972011003,060372972021008,060372972011008,,
33.7261,-118.2924,060372972011003,060372972011004,060372972011008,060372972011007,,
33.7261,-118.2902,060372972011004,060372972011005,060372972011007,060372972011006,,
33.7261,-118.288,060372972011005,060372971202006,060372972011006,060372971202009,,
33.7261,-118.2858,060372971202006,060372971202007,060372971202009,060372971202008,,
33.7261,-118.2848,060372971202007,060372971202008,,,,
33.7262,-118.2781,060379800311124,060379800311108,,,,
33.7262,-118.2779,060379800311108,060379800311124,,,,
33.7263,-118.3208,060372974003017,060372974001006,060372974003016,,,
33.7263,-118.3148,060372974001004,060372974001001,060372974001006,,,
33.7264,-118.3117,060372974001005,,,,,
33.7264,-118.3116,060372974001005,,,,,
33.7265,-118.3205,060372974001006,060372974003016,060372974003015,,,
33.7265,-118.3169,060372974003018,,,,,
33.7266,-118.318,060372974003018,,,,,
33.7266,-118.2764,060379800311108,060379800311104,,,,
33.7266,-118.2739,060379800311106,,,,,
33.7266,-118.2735,060379800311106,060379800311107,,,,
33.7267,-118.3127,060372974001004,060372974001005,,,,
33.727,-118.3242,060372974003008,060372974002005,060372974003017,,,
33.727,-118.3136,060372974001003,060372974001004,,,,
33.727,-118.3078,060372973003003,060372973003004,060372973003002,060372973003001,,
33.727,-118.3056,060372973003005,060372973003004,060372973003000,060372973003001,,
33.727,-118.3034,060372972021004,060372973003005,060372972021003,060372973003000,,
33.727,-118.3012,060372972021005,060372972021004,060372972021002,060372972021003,,
33.727,-118.299,060372972021005,060372972021006,060372972021002,060372972021001,,
33.727,-118.2968,060372972021001,060372972021006,060372972021000,060372972021007,,
33.727,-118.2946,060372972021000,060372972021007,060372972011002,060372972011003,,
33.727,-118.2924,060372972011002,060372972011001,060372972011003,060372972011004,,
33.727,-118.2902,060372972011001,060372972011000,060372972011004,060372972011005,,
33.727,-118.288,060372972011000,060372972011005,060372971202003,060372971202006,,
33.727,-118.2858,060372971202003,060372971202006,060372971202004,060372971202007,,
33.727,-118.2841,060372971202004,060372971202007,,,,
33.727,-118.2748,060379800311117,060379800311119,060379800311108,060379800311115,,
33.7271,-118.3164,060372974001001,060372974003018,060372974003013,,,
33.7271,-118.3113,060372974003006,060372970001017,060372974001005,060372970001015,060372973001000,
33.7271,-118.3097,060372973003002,060372970001020,060372973003003,060372973001000,,
33.7272,-118.3201,060372974003015,060372974003018,060372974003014,,,
33.7272,-118.3173,060372974003013,,,,,
33.7274,-118.3183,060372974003013,,,,,
33.7275,-118.3105,060372970001015,,,,,
33.7276,-118.3122,060372974001005,060372974003006,060372974001004,,,
33.7278,-118.3143,060372974001000,060372974001003,060372974001002,,,
33.7279,-118.3243,060372974003008,,,,,
33.7279,-118.3167,060372974001001,060372974003012,060372974003013,,,
33.7279,-118.3056,060372973003000,060372973003001,060372970005010,060372970005009,,
33.7279,-118.3034,060372972021003,060372973003000,060372970005011,060372970005010,,
33.7279,-118.3012,060372972021003,060372972021002,060372970005011,060372969012006,,
33.7279,-118.299,060372972021002,060372972021001,060372969012006,060372969012005,,
33.7279,-118.2968,060372972021001,060372969012005,060372972021000,060372969012004,,
33.7279,-118.2946,060372969012004,060372972021000,060372969012003,060372972011002,,
33.7279,-118.2924,060372969012003,060372972011002,060372969012008,060372972011001,,
33.7279,-118.2902,060372969012008,060372972011001,060372969012007,060372972011000,,
33.7279,-118.288,060372969012007,060372972011000,060372971202002,060372971202003,,
