Rank_0,Rank_1,Team (FPV),Conf,WLT,Points,Last Week,W-L,BCS,CP,CFP,3WT
3,< 2,Auburn (4),SEC,2-0,1382, ,,,,,
4,< 5,BYU (2),WAC,3-0,1236, ,,,,,
5,< 6,USC,Pac-10,2-0,1201, ,,,,,
6,< 7,Tennessee,SEC,3-0-1,1158, ,,,,,
7,< 4,Michigan,Big Ten,0-1,1084, ,,,,,
8,< 8,Nebraska,Big 8,2-0,1050, ,,,,,
9,< 10,Miami (FL),Ind,1-1,1036, ,,,,,
10,< 11,Virginia,ACC,3-0,1033, ,,,,,
11,< 14,Oklahoma,Big 8,2-0,973,W 52-10 H #13 Pittsburgh,,,,,
12,< 12,Texas A&M,Southwest,2-0,885, ,,,,,
13,< 15,Arkansas,Southwest,1-0,704, ,,,,,
14,< 18,Houston,Southwest,2-0,601, ,,,,,
15,< 21,Illinois,Big Ten,1-1,565, ,,,,,
16,< 17,Ohio State,Big Ten,2-0,563, ,,,,,
17,< 16,Clemson,ACC,2-1,479, ,,,,,
18,< 20,Arizona,Pac-10,2-0,462,W 25-10 A New Mexico,,,,,
19,< 24,Florida,SEC,2-0,446, ,,,,,
20,< 9,Colorado,Big 8,1-1-1,438, ,,,,,
21,< 22,Washington,Pac-10,2-0,323, ,,,,,
22,< 23,Texas,Southwest,1-0,267, ,,,,,
23,< 25,Arizona State,Pac-10,2-0,228, ,,,,,
24,< 19,Michigan State,Big Ten,0-0-1,128, ,,,,,
25,< 13,Pittsburgh,Ind,2-1,70,L 52-10 A #14 Oklahoma,,,,,
RV,< NR,Fresno State,Big West,,69, ,,,,,
RV,< NR,LSU,SEC,,44, ,,,,,
RV,< NR,Oregon,Pac-10,,43, ,,,,,
RV,< NR,South Carolina,Ind,,37, ,,,,,
RV,< NR,Georgia Tech,ACC,,35, ,,,,,
RV,< NR,Syracuse,Ind,,23, ,,,,,
RV,< NR,Wyoming,WAC,,20, ,,,,,
RV,< NR,Georgia,SEC,,15, ,,,,,
RV,< NR,UCLA,Pac-10,,14, ,,,,,
RV,< NR,Indiana,Big Ten,,9, ,,,,,
RV,< NR,Penn State,Ind,,7, ,,,,,
RV,< NR,West Virginia,Ind,,3, ,,,,,
RV,< NR,Iowa,Big Ten,,1, ,,,,,
RV,< NR,Maryland,ACC,,1, ,,,,,
RV,< NR,Mississippi,SEC,,1, ,,,,,
RV,< NR,Toledo,MAC,,1, ,,,,,
1,< 1,Notre Dame (43),Ind,2-0,1478,W 20-19 A #24 Michigan State,,,,,
2,< 2,Florida State (11),Ind,3-0,1397, ,,,,,
3,< 3,Auburn (3),SEC,2-0,1384, ,,,,,
4,< 4,BYU (3),WAC,4-0,1261, ,,,,,
5,< 6,Tennessee,SEC,3-0-1,1168, ,,,,,
6,< 7,Michigan,Big Ten,1-1,1156, ,,,,,
7,< 10,Virginia,ACC,4-0,1106, ,,,,,
8,< 8,Nebraska,Big 8,3-0,1082, ,,,,,
9,< 11,Oklahoma,Big 8,3-0,1042,W 52-10 H Tulsa,,,,,
10,< 9,Miami (FL),Ind,1-1,1034, ,,,,,
11,< 12,Texas A&M,Southwest,3-0,916, ,,,,,
12,< 21,Washington,Pac-10,3-0,787, ,,,,,
13,< 14,Houston,Southwest,2-0,696, ,,,,,
14,< 15,Illinois,Big Ten,2-1,621, ,,,,,
15,< 16,Ohio State,Big Ten,2-0,595, ,,,,,
16,< 18,Arizona,Pac-10,3-0,582,W 22-17 H Oregon,,,,,
17,< 19,Florida,SEC,3-0,525, ,,,,,
18,< 5,USC,Pac-10,2-1,518,L 31-0 A #21 Washington,,,,,
19,< 17,Clemson,ACC,3-1,510, ,,,,,
20,< 20,Colorado,Big 8,2-1-1,493, ,,,,,
21,< 23,Arizona State,Pac-10,2-0,281, ,,,,,
22,< 24,Michigan State,Big Ten,0-1-1,212, ,,,,,
23,< 13,Arkansas,Southwest,1-1,155, ,,,,,
24,< NR,Fresno State,Big West,4-0,106,W 42-3 H New Mexico State,,,,,
25,< NR,South Carolina,Ind,3-0,64,W 35-24 A Virginia Tech,,,,,
RV,< 22,Texas,Southwest,,60, ,,,,,
RV,< NR,Georgia Tech,ACC,,51, ,,,,,
RV,< NR,Wyoming,WAC,,44, ,,,,,
RV,< NR,Indiana,Big Ten,,33, ,,,,,
RV,< NR,Mississippi,SEC,,29, ,,,,,
RV,< NR,Georgia,SEC,,21, ,,,,,
RV,< NR,Pittsburgh,Ind,,19, ,,,,,
RV,< 25,Syracuse,Ind,,14, ,,,,,
RV,< NR,Louisville,Ind,,12, ,,,,,
RV,< NR,Iowa,Big Ten,,11, ,,,,,
RV,< NR,Maryland,ACC,,10, ,,,,,
RV,< NR,Oregon,Pac-10,,10, ,,,,,
RV,< NR,Stanford,Pac-10,,7, ,,,,,
RV,< NR,LSU,SEC,,4, ,,,,,
RV,< NR,Penn State,Ind,,4, ,,,,,
RV,< NR,Toledo,MAC,,2, ,,,,,
1,< 1,Notre Dame (48),Ind,3-0,1489,W 37-11 H Purdue,,,,,
2,< 2,Florida State (10),Ind,4-0,1420, ,,,,,
3,< 6,Michigan,Big Ten,2-1,1296, ,,,,,
4,< 7,Virginia (1),ACC,5-0,1244, ,,,,,
5,< 3,Auburn,SEC,2-0-1,1227, ,,,,,
6,< 5,Tennessee,SEC,3-0-2,1217, ,,,,,
7,< 9,Oklahoma,Big 8,4-0,1129,W 31-17 H Kansas,,,,,
8,< 8,Nebraska,Big 8,4-0,1106, ,,,,,
9,< 10,Miami (FL),Ind,2-1,1096, ,,,,,
10,< 17,Florida,SEC,4-0,816, ,,,,,
11,< 4,BYU,WAC,4-1,779, ,,,,,
12,< 20,Colorado,Big 8,3-1-1,777, ,,,,,
13,< 13,Houston,Southwest,3-0,748, ,,,,,
13,< 14,Illinois,Big Ten,2-1,748, ,,,,,
15,< 18,USC,Pac-10,3-1,713, ,,,,,
16,< 19,Clemson,ACC,4-1,636, ,,,,,
17,< 12,Washington,Pac-10,3-1,580, ,,,,,
18,< 22,Michigan State,Big Ten,1-1-1,342, ,,,,,
19,< 11,Texas A&M,Southwest,3-1,333, ,,,,,
20,< 15,Ohio State,Big Ten,2-1,280, ,,,,,
21,< 23,Arkansas,Southwest,2-1,273, ,,,,,
22,< NR,Oregon,Pac-10,3-1,257, ,,,,,
23,< NR,Georgia Tech,ACC,3-0,197.5, ,,,,,
24,< 24,Fresno State,Big West,5-0,193,W 38-3 A Cal Fullerton,,,,,
25,< 16,Arizona,Pac-10,3-1,191,L 30-25 H California,,,,,
RV,< NR,Wyoming,WAC,,95, ,,,,,
RV,< NR,LSU,SEC,,80.5, ,,,,,
RV,< NR,Indiana,Big Ten,,76, ,,,,,
RV,< NR,Mississippi,SEC,,51, ,,,,,
RV,< NR,Texas,Southwest,,40, ,,,,,
RV,< 21,Arizona State,Pac-10,,13, ,,,,,
RV,< NR,Georgia,SEC,,12, ,,,,,
RV,< NR,Syracuse,Ind,,11, ,,,,,
RV,< NR,UCLA,Pac-10,,7, ,,,,,
RV,< NR,Alabama,SEC,,6, ,,,,,
RV,< NR,Louisville,Ind,,6, ,,,,,
RV,< NR,Missouri,Big 8,,4, ,,,,,
RV,< 25,South Carolina,Ind,,4, ,,,,,
RV,< NR,West Virginia,Ind,,4, ,,,,,
RV,< NR,Toledo,MAC,,2, ,,,,,
RV,< NR,TCU,Southwest,,1, ,,,,,
1,< 3,Michigan (34),Big Ten,3-1,1453,W 41-3 A Wisconsin,,,,,
2,< 4,Virginia (14),ACC,5-0,1384, ,,,,,
3,< 9,Miami (FL) (6),Ind,3-1,1324, ,,,,,
4,< 7,Oklahoma (1),Big 8,5-0,1244,W 31-17 A Oklahoma State,,,,,
5,< 6,Tennessee (1),SEC,3-0-2,1235, ,,,,,
6,< 5,Auburn,SEC,3-0-1,1176, ,,,,,
7,< 8,Nebraska (2),Big 8,5-0,1145, ,,,,,
8,< 1,Notre Dame,Ind,3-1,1122,L 36-31 H Stanford,,,,,
9,< 10,Florida (1),SEC,5-0,1017, ,,,,,
10,< 2,Florida State,Ind,4-1,993, ,,,,,
11,< 13,Illinois,Big Ten,3-1,796, ,,,,,
12,< 13,Houston (1),Southwest,4-0,763, ,,,,,
13,< 11,BYU,WAC,4-1,751, ,,,,,
14,< 12,Colorado,Big 8,4-1-1,705, ,,,,,
15,< 16,Clemson,ACC,5-1,690, ,,,,,
16,< 15,USC,Pac-10,4-1,667, ,,,,,
17,< 17,Washington,Pac-10,4-1,648, ,,,,,
18,< 23,Georgia Tech,ACC,4-0,451, ,,,,,
19,< 22,Oregon,Pac-10,4-1,424, ,,,,,
20,< 19,Texas A&M,Southwest,4-1,395, ,,,,,
21,< 25,Arizona,Pac-10,4-1,319,W 28-21 A UCLA,,,,,
22,< NR,Indiana,Big Ten,4-0,212,W 42-0 A Northwestern,,,,,
23,< NR,Wyoming,WAC,6-0,132,W 52-51 H San Diego State,,,,,
24,< NR,Mississippi,SEC,4-1,93, ,,,,,
25,< NR,Iowa,Big Ten,3-1,86, ,,,,,
RV,< NR,Texas,Southwest,,76, ,,,,,
RV,< 20,Ohio State,Big Ten,,47, ,,,,,
RV,< NR,TCU,Southwest,,43, ,,,,,
RV,< NR,Stanford,Pac-10,,25, ,,,,,
RV,< 18,Michigan State,Big Ten,,24, ,,,,,
RV,< NR,Syracuse,Ind,,16, ,,,,,
RV,< NR,South Carolina,Ind,,15, ,,,,,
RV,< NR,Alabama,SEC,,5, ,,,,,
RV,< NR,Toledo,MAC,,4, ,,,,,
RV,< 21,Arkansas,Southwest,,3, ,,,,,
RV,< NR,California,Pac-10,,3, ,,,,,
RV,< NR,Louisville,Ind,,3, ,,,,,
RV,< NR,Missouri,Big 8,,3, ,,,,,
RV,< NR,Colorado State,WAC,,2, ,,,,,
RV,< NR,Penn State,Ind,,2, ,,,,,
RV,< NR,Southern Miss,Ind,,2, ,,,,,
RV,< NR,LSU,SEC,,1, ,,,,,
RV,< NR,Northern Illinois,Ind,,1, ,,,,,
NR,< 24,Fresno State,Big West,,0, ,,,,,
1,< 2,Virginia (38),ACC,6-0,1454,W 31-0 H NC State,,,,,
2,< 3,Miami (FL) (15),Ind,4-1,1414, ,,,,,
3,< 5,Tennessee (2),SEC,4-0-2,1354, ,,,,,
4,< 7,Nebraska (3),Big 8,6-0,1258, ,,,,,
5,< 6,Auburn,SEC,4-0-1,1238, ,,,,,
6,< 8,Notre Dame (1),Ind,4-1,1208, ,,,,,
7,< 10,Florida State,Ind,4-1,1046, ,,,,,
8,< 11,Illinois,Big Ten,4-1,971, ,,,,,
9,< 12,Houston (1),Southwest,5-0,963, ,,,,,
10,< 1,Michigan,Big Ten,3-2,939,L 28-27 H Michigan State,,,,,
11,< 18,Georgia Tech,ACC,5-0,835, ,,,,,
12,< 13,BYU,WAC,5-1,830, ,,,,,
13,< 17,Washington,Pac-10,5-1,786, ,,,,,
14,< 14,Colorado,Big 8,5-1-1,762, ,,,,,
15,< 16,USC,Pac-10,5-1,761, ,,,,,
16,< 4,Oklahoma,Big 8,5-1,724,L 14-13 N Texas,,,,,
17,< 9,Florida,SEC,5-1,485, ,,,,,
18,< 24,Mississippi,SEC,5-1,374, ,,,,,
19,< NR,Texas,Southwest,3-1,354, ,,,,,
20,< 22,Indiana,Big Ten,4-0-1,312,T 27-27 H Ohio State,,,,,
21,< 23,Wyoming,WAC,7-0,291,W 25-22 H New Mexico,,,,,
22,< 15,Clemson,ACC,5-2,278, ,,,,,
22,< 25,Iowa,Big Ten,4-1,278, ,,,,,
24,< NR,Michigan State,Big Ten,2-2-1,193, ,,,,,
25,< 20,Texas A&M,Southwest,4-2,116, ,,,,,
RV,< NR,TCU,Southwest,,89,L 35-21 A Oregon State,,,,,
RV,< 19,Oregon,Pac-10,,83, ,,,,,
RV,< NR,South Carolina,Ind,,36, ,,,,,
RV,< NR,Ohio State,Big Ten,,15, ,,,,,
RV,< NR,California,Pac-10,,14, ,,,,,
RV,< NR,Penn State,Ind,,12, ,,,,,
RV,< 21,Arizona,Pac-10,4-2,11, ,,,,,
RV,< NR,Louisville,Ind,,5, ,,,,,
RV,< NR,Toledo,MAC,,5, ,,,,,
RV,< NR,Southern Miss,Ind,,4, ,,,,,
RV,< NR,UCLA,Pac-10,,2, ,,,,,
1,< 1,Virginia (45),ACC,7-0,1469,W 49-14 A Wake Forest,,,,,
2,< 5,Auburn (4),SEC,5-0-1,1370, ,,,,,
3,< 6,Notre Dame (5),Ind,5-1,1369, ,,,,,
4,< 4,Nebraska (5),Big 8,7-0,1352, ,,,,,
5,< 8,Illinois,Big Ten,5-1,1219, ,,,,,
6,< 9,Houston (1),Southwest,6-0,1180, ,,,,,
7,< 13,Washington,Pac-10,6-1,1106, ,,,,,
8,< 2,Miami (FL),Ind,4-2,1061, ,,,,,
9,< 12,BYU,WAC,5-1,972, ,,,,,
10,< 14,Colorado,Big 8,6-1-1,930, ,,,,,
11,< 3,Tennessee,SEC,4-1-2,899, ,,,,,
12,< 7,Florida State,Ind,4-2,795, ,,,,,
13,< 19,Texas,Southwest,4-1,689, ,,,,,
14,< 17,Florida,SEC,6-1,681, ,,,,,
15,< 22,Iowa,Big Ten,5-1,665, ,,,,,
16,< 11,Georgia Tech,ACC,5-0-1,628, ,,,,,
17,< 18,Mississippi,SEC,6-1,606, ,,,,,
18,< 21,Wyoming,WAC,8-0,426,W 21-12 H Weber State,,,,,
19,< 22,Clemson,ACC,6-2,414, ,,,,,
20,< 10,Michigan,Big Ten,3-3,373, ,,,,,
21,< 15,USC,Pac-10,5-2,300, ,,,,,
22,< 16,Oklahoma,Big 8,5-2,196,L 33-31 H Iowa State,,,,,
23,< NR,Arizona,Pac-10,5-2,172,W 35-26 A USC,,,,,
24,< NR,TCU,Southwest,5-1,161,DNP,,,,,
25,< NR,Oregon,Pac-10,5-2,98, ,,,,,
RV,< NR,Louisville,Ind,,77, ,,,,,
RV,< NR,California,Pac-10,,62, ,,,,,
RV,< 20,Indiana,Big Ten,,55, ,,,,,
RV,< 25,Texas A&M,Southwest,,39, ,,,,,
RV,< 24,Michigan State,Big Ten,,33, ,,,,,
RV,< NR,Penn State,Ind,,31, ,,,,,
RV,< NR,Southern Miss,Ind,,23, ,,,,,
RV,< NR,Alabama,SEC,,13, ,,,,,
RV,< NR,Ohio State,Big Ten,,13, ,,,,,
RV,< NR,South Carolina,Ind,,10, ,,,,,
RV,< NR,Minnesota,Big Ten,,7, ,,,,,
