Rank_0,Rank_1,Team (FPV),Conf,WLT,Points,Last Week,W-L,BCS,CP,CFP,3WT
13,< 14,Virginia Tech,ACC,,749,W 52-10 H Marshall,1-1,, 14 ,,
14,< 15,Georgia Tech,ACC,,683,W 30-27 H Clemson,2-0,, 13 ,,
15,< 16,TCU,MWC,,609,W 30-14 A Virginia,1-0,, 15 ,,
16,< 5,Oklahoma State,Big 12,,445,L 45-35 H Houston,1-1,, 17 ,,
17,< 23,Cincinnati,Big East,,407,W 70-3 H Southeast Missouri State,2-0,, 21 ,,
18,< 17,Utah,MWC,,405,W 24-14 A San Jose State,2-0,, 16 ,,
19,< 22,Nebraska,Big 12,,365,W 38-9 H Arkansas State,2-0,, 18 ,,
20,< 20,Miami (FL),ACC,,364,DNP,1-0,, 22 ,,
21,< NR,Houston,C-USA,,341,W 45-35 A #5 Oklahoma State,2-0,, NR ,,
22,< 24,Kansas,Big 12,,271,W 34-7 A UTEP,2-0,, 23 ,,
23,< 21,Georgia,SEC,,260,W 41-37 H South Carolina,1-1,, 20 ,,
24,< 19,North Carolina,ACC,,250,W 12-10 A Connecticut,2-0,, 19 ,,
25,< NR,Michigan,Big Ten,,169,W 38-34 H #18 Notre Dame,2-0,, NR ,,
RV,< 25,Missouri,Big 12,,93,W 27-20 H Bowling Green,2-0,, 25 ,,
RV,< NR,Pittsburgh,Big East,,87, ,,, ,,
RV,< NR,Oregon State,Pac-10,,64, ,,, ,,
RV,< NR,Texas Tech,Big 12,,54, ,,, ,,
RV,< NR,UCLA,Pac-10,,44, ,,, ,,
RV,< 18,Notre Dame,Ind,,40,L 38-34 A Michigan,1-1,, NR ,,
RV,< NR,West Virginia,Big East,,30, ,,, ,,
RV,< NR,Auburn,SEC,,26, ,,, ,,
RV,< NR,Iowa,Big Ten,,23, ,,, ,,
RV,< NR,Boston College,ACC,,19, ,,, ,,
RV,< NR,Baylor,Big 12,,15, ,,, ,,
RV,< NR,Clemson,ACC,,10, ,,, ,,
RV,< NR,Oregon,Pac-10,,5, ,,, ,,
RV,< NR,Arizona,Pac-10,,4, ,,, ,,
RV,< NR,Arkansas,SEC,,3, ,,, ,,
RV,< NR,Colorado State,MWC,,2, ,,, ,,
RV,< NR,Florida State,ACC,,1, ,,, ,,
RV,< NR,Minnesota,Big Ten,,1, ,,, ,,
RV,< NR,South Florida,Big East,,1, ,,, ,,
1,< 1,Florida (55),SEC,,1488,W 23-13 H Tennessee,3-0,, *1 ,,
2,< 2,Texas (2),Big 12,,1428,W 34-24 H Texas Tech,3-0,, 2 ,,
3,< 4,Alabama (3),SEC,,1390,W 53-7 H North Texas,3-0,, 3 ,,
4,< 5,Mississippi,SEC,,1213,W 52-6 H Southeastern Louisiana,2-0,, 5 ,,
5,< 5,Penn State,Big Ten,,1212,W 31-6 H Temple,3-0,, 4 ,,
6,< 8,California,Pac-10,,1169,W 35-21 A Minnesota,3-0,, 6 ,,
7,< 9,LSU,SEC,,1120,W 31-3 H Louisiana-Lafayette,3-0,, 7 ,,
8,< 10,Boise State,WAC,,1038,W 51-34 A Fresno State,3-0,, 8 ,,
9,< 20,Miami (FL),ACC,,920,W 33-17 H #14 Georgia Tech,2-0,, 13 ,,
10,< 12,Oklahoma,Big 12,,862,W 45-0 H Tulsa,2-1,, 9 ,,
11,< 13,Virginia Tech,ACC,,852,W 16-15 H #19 Nebraska,2-1,, 12 ,,
12,< 3,USC,Pac-10,,825,L 16-13 A Washington,2-1,, 10 ,,
13,< 11,Ohio State,Big Ten,,810,W 38-0 A Toledo,2-1,, 11 ,,
14,< 17,Cincinnati,Big East,,739,W 28-18 A Oregon State,3-0,, 15 ,,
15,< 15,TCU,MWC,,674,W 56-21 H Texas State,2-0,, 14 ,,
16,< 16,Oklahoma State,Big 12,,478,W 41-24 H Rice,2-1,, 16 ,,
17,< 21,Houston,C-USA,,455,DNP,2-0,, 23 ,,
18,< NR,Florida State,ACC,,363,W 54-28 A #7 BYU,2-1,, 25 ,,
19,< 7,BYU,MWC,,349,L 54-28 H Florida State,2-1,, 20 ,,
20,< 22,Kansas,Big 12,,347,W 44-16 H Duke,3-0,, 19 ,,
21,< 23,Georgia,SEC,,318,W 52-41 A Arkansas,2-1,, 17 ,,
22,< 24,North Carolina,ACC,,271,W 31-17 H East Carolina,3-0,, 18 ,,
23,< 25,Michigan,Big Ten,,247,W 45-17 H Eastern Michigan,3-0,, 22 ,,
24,< NR,Washington,Pac-10,,194,W 16-13 H #3 USC,2-1,, RV ,,
25,< 19,Nebraska,Big 12,,132,L 16-15 A #13 Virginia Tech,2-1,, 24 ,,
RV,< NR,Missouri,Big 12,,115, ,3-0,, 21 ,,
RV,< 14,Georgia Tech,ACC,,102, ,,, RV ,,
RV,< NR,Auburn,SEC,,100, ,,, RV ,,
RV,< NR,Pittsburgh,Big East,,91, ,,, RV ,,
RV,< NR,UCLA,Pac-10,,62, ,,, RV ,,
RV,< NR,Iowa,Big Ten,,39, ,,, RV ,,
RV,< NR,Oregon,Pac-10,,30, ,,, RV ,,
RV,< NR,Texas Tech,Big 12,,19, ,,, RV ,,
RV,< NR,Notre Dame,Ind,,16, ,,, RV ,,
RV,< 18,Utah,MWC,,12, ,,, RV ,,
RV,< NR,Clemson,ACC,,11, ,,, NR ,,
RV,< NR,Colorado State,MWC,,4, ,,, RV ,,
RV,< NR,Oregon State,Pac-10,,4, ,,, RV ,,
RV,< NR,South Florida,Big East,,1, ,,, RV ,,
NR,< NR,Kentucky,SEC,,0, ,,, RV ,,
NR,< NR,Minnesota,Big Ten,,0, ,,, RV ,,
NR,< NR,South Carolina,SEC,,0, ,,, RV ,,
NR,< NR,Wisconsin,Big Ten,,0, ,,, RV ,,
1,< 1,Florida (55),SEC,,1490,W 41-7 A Kentucky,4-0,, 1 ,,
2,< 2,Texas (1),Big 12,,1420,W 64-7 H UTEP,4-0,, 2 ,,
3,< 3,Alabama (4),SEC,,1400,W 35-7 H Arkansas,4-0,, 3 ,,
4,< 7,LSU,SEC,,1225,W 30-26 A Mississippi State,4-0,, 4 ,,
5,< 8,Boise State,WAC,,1203,W 49-14 A Bowling Green,4-0,, 5 ,,
6,< 11,Virginia Tech,ACC,,1190,W 31-7 H #9 Miami (FL),3-1,, 6 ,,
7,< 12,USC,Pac-10,,998,W 27-6 H Washington State,3-1,, 7 ,,
8,< 10,Oklahoma,Big 12,,979,DNP,2-1,, 8 ,,
9,< 13,Ohio State,Big Ten,,957,W 30-0 H Illinois,3-1,, 9 ,,
10,< 14,Cincinnati,Big East,,946,W 28-20 H Fresno State,4-0,, 11 ,,
11,< 15,TCU,MWC,,896,W 14-10 A Clemson,3-0,, 10 ,,
12,< 17,Houston,C-USA,,844,W 29-28 H Texas Tech,3-0,, 15 ,,
13,< NR,Iowa,Big Ten,,788,W 21-10 A #5 Penn State,4-0,, 17 ,,
14,< 16,Oklahoma State,Big 12,,591,W 56-6 H Grambling State,3-1,, 12 ,,
15,< 5,Penn State,Big Ten,,470,L 21-10 H Iowa,3-1,, 13 ,,
16,< NR,Oregon,Pac-10,,462,W 42-3 H #6 California,3-1,, 25 ,,
17,< 9,Miami (FL),ACC,,452,L 31-7 A #11 Virginia Tech,2-1,, 21 ,,
18,< 21,Georgia,SEC,,418,W 20-17 H Arizona State,3-1,, 14 ,,
18,< 20,Kansas,Big 12,,418,W 35-28 H Southern Miss,4-0,, 16 ,,
20,< 19,BYU,MWC,,349,W 42-23 H Colorado State,3-1,, 21 ,,
21,< 4,Mississippi,SEC,,340,L 16-10 A South Carolina,2-1,, 18 ,,
22,< 23,Michigan,Big Ten,,271,W 36-33 H Indiana,4-0,, 20 ,,
23,< 25,Nebraska,Big 12,,256,W 55-0 H Louisiana-Lafayette,3-1,, 24 ,,
24,< 6,California,Pac-10,,206,L 42-3 A Oregon,3-1,, 19 ,,
25,< NR,Georgia Tech,ACC,,185,W 24-7 H #22 North Carolina,3-1,, NR ,,
RV,< NR,Missouri,Big 12,,175, ,,, NR ,,
RV,< NR,Auburn,SEC,,171, ,,, NR ,,
RV,< NR,South Carolina,SEC,,154, ,,, NR ,,
RV,< NR,South Florida,Big East,,145, ,,, NR ,,
RV,< NR,UCLA,Pac-10,,41, ,,, NR ,,
RV,< NR,Utah,MWC,,25, ,,, NR ,,
RV,< NR,Wisconsin,Big Ten,,20, ,,, NR ,,
RV,< NR,Notre Dame,Ind,,7, ,,, NR ,,
RV,< NR,Arizona State,Pac-10,,4, ,,, NR ,,
RV,< 22,North Carolina,ACC,,2, ,3-1,, NR ,,
RV,< NR,Stanford,Pac-10,,2, ,,, NR ,,
NR,< 18,Florida State,ACC,,0,L 17-7 H South Florida,2-2,, NR ,,
NR,< 24,Washington,Pac-10,,0,L 34-14 A Stanford,2-2,, NR ,,
1,< 1,Florida (54),SEC,,1486,DNP,4-0,, 1 ,,
2,< 2,Texas (1),Big 12,,1416,DNP,4-0,, 2 ,,
3,< 3,Alabama (5),SEC,,1404,W 38-20 A Kentucky,5-0,, 3 ,,
4,< 4,LSU,SEC,,1290,W 20-13 A #18 Georgia,5-0,, 4 ,,
5,< 6,Virginia Tech,ACC,,1200,W 34-26 A Duke,4-1,, 5 ,,
6,< 5,Boise State,WAC,,1185,W 34-16 H UC Davis,5-0,, 6 ,,
7,< 7,USC,Pac-10,,1108,W 30-3 A #24 California,4-1,, 7 ,,
8,< 10,Cincinnati,Big East,,1004,W 37-13 A Miami (OH),5-0,, 10 ,,
9,< 9,Ohio State,Big Ten,,994,W 33-14 A Indiana,4-1,, 8 ,,
10,< 11,TCU,MWC,,940,W 39-14 H SMU,4-0,, 9 ,,
11,< 17,Miami (FL),ACC,,931,W 21-20 H #8 Oklahoma,3-1,, 11 ,,
12,< 13,Iowa,Big Ten,,823,W 24-21 H Arkansas State,5-0,, 14 ,,
13,< 16,Oregon,Pac-10,,676,W 52-6 H Washington State,4-1,, 17 ,,
14,< 15,Penn State,Big Ten,,564,W 35-17 A Illinois,4-1,, 12 ,,
15,< 14,Oklahoma State,Big 12,,563,DNP,3-1,, 13 ,,
16,< 18,Kansas,Big 12,,513,DNP,4-0,, 15 ,,
17,< NR,Auburn,SEC,,428,W 26-22 A Tennessee,5-0,, 19 ,,
18,< 20,BYU,MWC,,403,W 35-17 H Utah State,4-1,, 20 ,,
19,< 8,Oklahoma,Big 12,,370,L 21-20 A #17 Miami (FL),2-2,, 21 ,,
20,< 21,Mississippi,SEC,,357,W 23-7 A Vanderbilt,3-1,, 16 ,,
21,< 23,Nebraska,Big 12,,333,W 55-0 H Louisiana-Lafayette,3-1,, 22 ,,
22,< 25,Georgia Tech,ACC,,311,W 42-31 A Mississippi State,4-1,, 23 ,,
23,< NR,South Florida,Big East,,238,W 34-20 A Syracuse,5-0,, 24 ,,
24,< NR,Missouri,Big 12,,215,DNP,4-0,, 18 ,,
25,< NR,South Carolina,SEC,,200,W 38-14 H South Carolina State,4-1,, NR ,,
RV,< NR,Wisconsin,Big Ten,,157, ,,, NR ,,
RV,< 12,Houston,C-USA,,142,L 58-41 A UTEP,3-1,, NR ,,
RV,< 18,Georgia,SEC,,115,L 20-13 H #4 LSU,3-2,, NR ,,
RV,< NR,Stanford,Pac-10,,50, ,,, NR ,,
RV,< NR,Utah,MWC,,31, ,,, NR ,,
RV,< 22,Michigan,Big Ten,,25,L 26-20 (1OT) A Michigan State,4-1,, NR ,,
RV,< NR,Boston College,ACC,,12, ,,, NR ,,
RV,< NR,Notre Dame,Ind,,9, ,,, NR ,,
RV,< NR,Pittsburgh,Big East,,3, ,,, NR ,,
RV,< NR,Arizona,Pac-10,,2, ,,, NR ,,
RV,< NR,West Virginia,Big East,,2, ,,, NR ,,
NR,< 24,California,Pac-10,,0,L 30-3 H #7 USC,3-2,, NR ,,
1,< 1,Florida (50),SEC,,1490,W 13-3 A #4 LSU,5-0,, 1 ,,
2,< 3,Alabama (10),SEC,,1430,W 22-3 A #20 Mississippi,6-0,, 3 ,,
3,< 2,Texas,Big 12,,1395,W 38-14 H Colorado,5-0,, 2 ,,
4,< 5,Virginia Tech,ACC,,1283,W 48-14 H Boston College,5-1,, 4 ,,
5,< 6,Boise State,WAC,,1199,DNP,5-0,, 6 ,,
6,< 7,USC,Pac-10,,1161,DNP,4-1,, 5 ,,
7,< 9,Ohio State,Big Ten,,1048,W 31-13 H Wisconsin,5-1,, 7 ,,
8,< 8,Cincinnati,Big East,,1038,DNP,5-0,, 9 ,,
9,< 11,Miami (FL),ACC,,970,W 48-16 H Florida A&M,4-1,, 11 ,,
10,< 4,LSU,SEC,,947,L 13-3 H #1 Florida,5-1,, 10 ,,
11,< 12,Iowa,Big Ten,,919,W 30-28 H Michigan,6-0,, 12 ,,
12,< 10,TCU,MWC,,917,W 20-17 A Air Force,5-0,, 8 ,,
13,< 13,Oregon,Pac-10,,776,W 24-10 A UCLA,5-1,, 16 ,,
14,< 14,Penn State,Big Ten,,597,W 52-3 H Eastern Illinois,5-1,, 13 ,,
15,< 21,Nebraska,Big 12,,576,DNP,4-1,, 17 ,,
16,< 15,Oklahoma State,Big 12,,559,W 36-31 A Texas A&M,4-1,, 14 ,,
17,< 16,Kansas,Big 12,,551,W 41-36 H Iowa State,5-0,, 15 ,,
18,< 18,BYU,MWC,,490,W 59-21 A UNLV,5-1,, 19 ,,
19,< 22,Georgia Tech,ACC,,453,W 49-44 A Florida State,5-1,, 20 ,,
20,< 19,Oklahoma,Big 12,,432,W 33-7 H Baylor,3-2,, 18 ,,
21,< 23,South Florida,Big East,,330,DNP,5-0,, 21 ,,
22,< 25,South Carolina,SEC,,319,W 28-26 H Kentucky,5-1,, 22 ,,
23,< NR,Houston,C-USA,,192,W 31-24 A Mississippi State,4-1,, 23 ,,
24,< NR,Utah,MWC,,76,W 24-17 A Colorado State,4-1,, NR ,,
25,< NR,Notre Dame,Ind,,75,DNP,4-1,, 25 ,,
RV,< ,Pittsburgh,Big East,,58, ,,, ,,
RV,< 17,Auburn,SEC,,55,L 44-23 A Arkansas,5-1,, NR ,,
RV,< ,West Virginia,Big East,,46, ,,, ,,
RV,< 20,Mississippi,SEC,,28,L 22-3 H #3 Alabama,3-2,, NR ,,
RV,< ,Wisconsin,Big Ten,,27, ,,, ,,
RV,< 24,Missouri,Big 12,,25,L 27-12 H #21 Nebraska,4-1,, 24 ,,
RV,< ,Arkansas,SEC,,16, ,,, ,,
RV,< ,Central Michigan,MAC,,6, ,,, ,,
RV,< ,Arizona,Pac-10,,5, ,,, ,,
RV,< ,Michigan,Big Ten,,5, ,,, ,,
RV,< ,Oregon State,Pac-10,,2, ,,, ,,
RV,< ,Idaho,WAC,,1,W 29-25 A San Jose State,,, ,,
RV,< ,Navy,Ind,,1, ,,, ,,
RV,< ,Stanford,Pac-10,,1, ,,, ,,
RV,< ,Texas Tech,Big 12,,1, ,,, ,,
1,< 2,Alabama (39),SEC,,1447,W 20-6 H #22 South Carolina,7-0,2, 2 ,,
2,< 1,Florida (20),SEC,,1434,W 23-20 H Arkansas,6-0,1, 1 ,,
3,< 3,Texas,Big 12,,1365,W 16-13 N #20 Oklahoma,6-0,3, 3 ,,
4,< 6,USC,Pac-10,,1213,W 34-27 A #25 Notre Dame,5-1,7, 4 ,,
5,< 8,Cincinnati,Big East,,1163,W 34-17 A #21 South Florida,6-0,5, 6 ,,
6,< 5,Boise State,WAC,,1156,W 28-21 A Tulsa,6-0,4, 5 ,,
7,< 11,Iowa,Big Ten,,1092,W 20-10 A Wisconsin,7-0,6, 8 ,,
8,< 9,Miami (FL),ACC,,1056,W 27-7 A UCF,5-1,10, 9 ,,
9,< 10,LSU,SEC,,1014,DNP,5-1,9, 10 ,,
10,< 12,TCU,MWC,,1001,W 44-6 H Colorado State,6-0,8, 7 ,,
11,< 19,Georgia Tech,ACC,,861,W 28-23 H #4 Virginia Tech,6-1,12, 13 ,,
12,< 13,Oregon,Pac-10,,849,DNP,5-1,11, 14 ,,
13,< 14,Penn State,Big Ten,,753,W 20-0 H Minnesota,6-1,13, 11 ,,
14,< 16,Oklahoma State,Big 12,,690,W 33-17 H Missouri,5-1,15, 12 ,,
15,< 4,Virginia Tech,ACC,,684,L 28-23 A #19 Georgia Tech,5-2,14, 15 ,,
16,< 18,BYU,MWC,,601,W 38-28 A San Diego State,6-1,16, 16 ,,
17,< 23,Houston,C-USA,,478,W 44-16 A Tulane,5-1,17, 18 ,,
18,< 7,Ohio State,Big Ten,,373,L 26-18 A Purdue,5-2,19, 17 ,,
19,< 24,Utah,MWC,,350,W 35-15 A UNLV,5-1,18, 20 ,,
20,< NR,Pittsburgh,Big East,,330,W 24-17 A Rutgers,6-1,20, 19 ,,
21,< NR,Texas Tech,Big 12,,286,W 31-10 A #15 Nebraska,5-2,NR, 24 ,,
22,< NR,West Virginia,Big East,,205,W 24-7 H Marshall,5-1,23, 22 ,,
23,< 22,South Carolina,SEC,,159,L 20-6 A #2 Alabama,5-2,24, 23 ,,
24,< 17,Kansas,Big 12,,120,L 34-30 A Colorado,5-1,25, 21 ,,
25,< 20,Oklahoma,Big 12,,117,L 16-13 N #3 Texas,3-3,NR, NR ,,
RV,< 25,Notre Dame,Ind,,61,L 34-27 H #6 USC,4-2,NR, NR ,,
RV,< NR,Mississippi,SEC,,59, ,,NR, NR ,,
RV,< 21,South Florida,Big East,,59,L 34-17 H #8 Cincinnati,5-1,NR, NR ,,
RV,< 15,Nebraska,Big 12,,52, ,4-2,NR, NR ,,
RV,< NR,Michigan,Big Ten,,41, ,,NR, ,,
RV,< NR,Central Michigan,MAC,,39, ,,NR, ,,
RV,< NR,Arizona,Pac-10,,25, ,,22, ,,
RV,< NR,California,Pac-10,,9, ,,NR, ,,
RV,< NR,Arkansas,SEC,,8, ,,NR, ,,
RV,< NR,Oregon State,Pac-10,,5, ,,NR, ,,
RV,< NR,Idaho,WAC,,4,W 35-23 H Hawaii,,NR, ,,
RV,< NR,Missouri,Big 12,,4, ,,NR, ,,
RV,< NR,Navy,Ind,,4, ,,NR, ,,
RV,< NR,Wisconsin,Big Ten,,4, ,,21, ,,
RV,< NR,Auburn,SEC,,3, ,,NR, ,,
RV,< NR,Boston College,ACC,,3, ,,NR, ,,
1,< 2,Florida (30),SEC,,1463,W 29-19 A Mississippi State,7-0,1, 1 ,,
2,< 1,Alabama (23),SEC,,1448,W 12-10 H Tennessee,8-0,2, 2 ,,
3,< 3,Texas (7),Big 12,,1407,W 41-7 A Missouri,7-0,3, 3 ,,
4,< 4,USC,Pac-10,,1217,W 42-36 H Oregon State,6-1,5, 4 ,,
5,< 5,Cincinnati,Big East,,1211,W 41-10 H Louisville,7-0,8, 7 ,,
6,< 6,Boise State,WAC,,1177,W 54-9 A Hawaii,7-0,7, 5 ,,
7,< 7,Iowa,Big Ten,,1148,W 15-13 A Michigan State,8-0,4, 8 ,,
8,< 10,TCU,MWC,,1132,W 38-7 A #16 BYU,7-0,6, 6 ,,
9,< 9,LSU,SEC,,1040,W 31-10 H Auburn,6-1,9, 9 ,,
10,< 12,Oregon,Pac-10,,933,W 43-19 A Washington,6-1,10, 12 ,,
11,< 11,Georgia Tech,ACC,,923,W 34-9 A Virginia,7-1,11, 11 ,,
12,< 13,Penn State,Big Ten,,843,W 35-10 A Michigan,7-1,12, 10 ,,
13,< 14,Oklahoma State,Big 12,,768,W 34-7 A Baylor,6-1,14, 13 ,,
14,< 15,Virginia Tech,ACC,,734,DNP,5-2,13, 14 ,,
15,< 17,Houston,C-USA,,601,W 38-15 H SMU,6-1,18, 16 ,,
16,< 20,Pittsburgh,Big East,,551,W 41-14 H South Florida,7-1,15, 17 ,,
17,< 18,Ohio State,Big Ten,,508,W 38-7 H Minnesota,6-2,17, 15 ,,
18,< 8,Miami (FL),ACC,,501,L 40-37 (1OT) H Clemson,5-2,19, 18 ,,
19,< 19,Utah,MWC,,400,W 23-16 (1OT) H Air Force,6-1,16, 19 ,,
20,< 22,West Virginia,Big East,,323,W 28-24 H Connecticut,6-1,21, 20 ,,
21,< 23,South Carolina,SEC,,270,W 14-10 H Vanderbilt,6-2,22, 21 ,,
22,< 25,Oklahoma,Big 12,,210,W 35-13 A #24 Kansas,4-3,NR, 23 ,,
23,< NR,Arizona,Pac-10,,164,W 27-13 H UCLA,5-2,20, 24 ,,
24,< NR,Mississippi,SEC,,142,W 30-17 H Arkansas,5-2,25, 22 ,,
25,< NR,Notre Dame,Ind,,135,W 20-16 H Boston College,5-2,23, 25 ,,
RV,< 16,BYU,MWC,,80,L 38-7 H #10 TCU,6-2,NR, NR ,,
RV,< NR,Central Michigan,MAC,,76, ,,NR, NR ,,
RV,< NR,California,Pac-10,,24, ,,24, NR ,,
RV,< 21,Texas Tech,Big 12,,18,L 52-30 H Texas A&M,5-3,, ,,
RV,< NR,Wisconsin,Big Ten,,16, ,,, ,,
RV,< NR,Navy,Ind,,13, ,,, ,,
RV,< 24,Kansas,Big 12,,12,L 35-13 H #25 Oklahoma,5-2,, ,,
RV,< NR,Clemson,ACC,,11, ,,, ,,
RV,< NR,Rutgers,Big East,,1, ,,, ,,
1,< 1,Florida (38),SEC,,1448,W 41-17 N Georgia,8-0,1, 1 ,,
2,< 3,Texas (13),Big 12,,1408,W 41-14 A #13 Oklahoma State,8-0,2, 2 ,,
3,< 2,Alabama (8),SEC,,1390,DNP,8-0,3, 3 ,,
4,< 5,Cincinnati,Big East,,1212,W 28-7 A Syracuse,8-0,5, 7 ,,
5,< 6,Boise State,WAC,,1211,W 45-7 H San Jose State,8-0,7, 5 ,,
6,< 8,TCU,MWC,,1147,W 41-0 H UNLV,8-0,6, 4 ,,
7,< 10,Oregon,Pac-10,,1130,W 47-20 H #4 USC,7-1,8, 8 ,,
8,< 7,Iowa,Big Ten,,1127,W 42-24 H Indiana,9-0,4, 6 ,,
9,< 9,LSU,SEC,,1036,W 42-0 H Tulane,7-1,9, 9 ,,
10,< 11,Georgia Tech,ACC,,949,W 56-31 H Vanderbilt,8-1,10, 11 ,,
11,< 12,Penn State,Big Ten,,886,W 34-13 A Northwestern,8-1,11, 10 ,,
12,< 4,USC,Pac-10,,741,L 47-20 A #10 Oregon,6-2,12, 13 ,,
13,< 15,Houston,C-USA,,707,W 50-43 H Southern Miss,7-1,15, 15 ,,
14,< 16,Pittsburgh,Big East,,690,DNP,7-1,13, 14 ,,
15,< 17,Ohio State,Big Ten,,636,W 45-0 H New Mexico State,7-2,16, 12 ,,
16,< 18,Miami (FL),ACC,,602,W 28-27 A Wake Forest,6-2,17, 17 ,,
17,< 19,Utah,MWC,,552,W 22-10 H Wyoming,7-1,14, 16 ,,
18,< 13,Oklahoma State,Big 12,,361,L 41-14 H #3 Texas,6-2,19, 18 ,,
19,< 25,Notre Dame,Ind,,352,W 40-14 N Washington State,6-2,22, 21 ,,
20,< 22,Oklahoma,Big 12,,348,W 42-30 H Kansas State,5-3,24, 20 ,,
21,< 23,Arizona,Pac-10,,322,DNP,5-2,18, 19 ,,
22,< 14,Virginia Tech,ACC,,185,L 20-17 H North Carolina,5-3,23, 24 ,,
23,< NR,California,Pac-10,,181,W 23-21 A Arizona State,6-2,20, 23 ,,
24,< NR,Wisconsin,Big Ten,,172,W 37-0 H Purdue,6-2,21, 22 ,,
25,< NR,BYU,MWC,,130,DNP,6-2,NR, 25 ,,
RV,< NR,South Florida,Big East,,115, ,,25, ,,
RV,< ,Clemson,ACC,,35, ,,, ,,
RV,< ,Auburn,SEC,,30, ,,, ,,
RV,< ,Texas Tech,Big 12,,24, ,,, ,,
RV,< 20,West Virginia,Big East,,15,L 30-19 A South Florida,6-2,NR, NR ,,
RV,< ,Rutgers,Big East,,11, ,,, ,,
RV,< ,Boston College,ACC,,6, ,,, ,,
RV,< ,Central Michigan,MAC,,4, ,,, ,,
RV,< ,Oregon State,Pac-10,,4, ,,, ,,
RV,< ,Tennessee,SEC,,3, ,,, ,,
RV,< ,Idaho,Other,,2,W 35-34 H Louisiana Tech,,, ,,
RV,< ,Richmond,Other,,1, ,,, ,,
RV,< 21,South Carolina,SEC,,1,L 31-13 A Tennessee,6-3,NR, NR ,,
RV,< ,Temple,MAC,,1, ,,, ,,
NR,< 24,Mississippi,SEC,,0,L 33-20 A Auburn,5-3,NR, NR ,,
1,< 1,Florida (39),SEC,,1467,W 27-3 H Vanderbilt,9-0,1, 1 ,,
2,< 2,Texas (10),Big 12,,1430,W 35-3 H UCF,9-0,3, 2 ,,
3,< 3,Alabama (11),SEC,,1422,W 24-15 H #9 LSU,9-0,2, 3 ,,
4,< 6,TCU,MWC,,1271,W 55-12 A San Diego State,9-0,4, 4 ,,
5,< 4,Cincinnati,Big East,,1263,W 47-45 H Connecticut,9-0,5, 5 ,,
6,< 5,Boise State,WAC,,1228,W 45-35 A Louisiana Tech,9-0,6, 6 ,,
7,< 10,Georgia Tech,ACC,,1127,W 30-27 (1OT) H Wake Forest,9-1,7, 7 ,,
8,< 14,Pittsburgh,Big East,,945,W 37-10 H Syracuse,8-1,12, 9 ,,
9,< 9,LSU,SEC,,904,L 24-15 A #3 Alabama,7-2,8, 11 ,,
10,< 15,Ohio State,Big Ten,,898,W 24-7 A #11 Penn State,8-2,11, 8 ,,
11,< 12,USC,Pac-10,,834,W 14-9 A Arizona State,7-2,9, 10 ,,
12,< 16,Miami (FL),ACC,,805,W 52-17 H Virginia,7-2,14, 15 ,,
13,< 13,Houston,C-USA,,783,W 46-45 A Tulsa,8-1,15, 12 ,,
14,< 7,Oregon,Pac-10,,752,L 51-42 A Stanford,7-2,13, 16 ,,
15,< 8,Iowa,Big Ten,,741,L 17-10 H Northwestern,9-1,10, 13 ,,
16,< 17,Utah,MWC,,706,W 45-14 H New Mexico,8-1,16, 14 ,,
17,< 18,Oklahoma State,Big 12,,492,W 34-8 A Iowa State,7-2,19, 18 ,,
18,< 21,Arizona,Pac-10,,476,W 48-7 H Washington State,6-2,17, 19 ,,
19,< 11,Penn State,Big Ten,,467,L 24-7 H #15 Ohio State,8-2,18, 17 ,,
20,< 22,Virginia Tech,ACC,,275,W 16-3 A East Carolina,6-3,21, 21 ,,
21,< 24,Wisconsin,Big Ten,,274,W 31-28 A Indiana,7-2,20, 20 ,,
22,< 25,BYU,MWC,,219,W 52-0 A Wyoming,7-2,22, 22 ,,
23,< NR,South Florida,Big East,,167,DNP,6-2,24, 24 ,,
24,< NR,Clemson,ACC,,149,W 40-24 H Florida State,6-3,NR, NR ,,
25,< NR,Stanford,Pac-10,,107,W 51-42 H #7 Oregon,6-3,NR, NR ,,
RV,< 19,Oregon State,Pac-10,,95, ,6-3,23, ,,
RV,< 20,Auburn,SEC,,54, ,5-4,, ,,
RV,< 23,West Virginia,Big East,,54, ,6-3,25, ,,
RV,< NR,Texas Tech,Big 12,,24, ,,, ,,
RV,< NR,Navy,Ind,,19, ,,, ,,
RV,< NR,Tennessee,SEC,,12, ,,, ,,
RV,< NR,Rutgers,Big East,,11, ,,, ,,
RV,< NR,Nebraska,Big 12,,9,W 27-12 A #24 Missouri,,, ,,
RV,< NR,Temple,MAC,,7, ,,, ,,
RV,< NR,Kansas State,Big 12,,5, ,,, ,,
RV,< 19,Notre Dame,Ind,,3,L 23-21 H Navy,6-3,NR, NR ,,
RV,< NR,Fresno State,WAC,,2, ,,, ,,
RV,< NR,Mississippi,SEC,,2, ,,, ,,
RV,< NR,Troy,Sun Belt,,1,W 40-20 A Western Kentucky,,, ,,
NR,< NR,California,Pac-10,,0,L 31-14 H Oregon State,6-3,NR, NR ,,
NR,< NR,Oklahoma,Big 12,,0,L 10-3 A Nebraska,5-4,NR, NR ,,
1,< 1,Florida (36),SEC,,1463,W 24-14 A South Carolina,10-0,1, *1 ,,
2,< 3,Alabama (14),SEC,,1429,W 31-3 A Mississippi State,10-0,2, *3 ,,
